# emapper version: emapper-2.0.1 emapper DB: 2.0
# command: emapper.py  -i Y1.faa --target_orthologs one2one --scratch_dir scratch --output_dir mapper --output Y1 --keep_mapping_files --cpu 72 -m diamond
# time: Sun Aug  9 17:28:10 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
Y1_g_00016	543734.LCABL_17910	0.0	2868.2	Lactobacillaceae	polC	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	2.7.7.7	ko:K02342,ko:K03763	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400				Bacteria	1TPAG@1239,3F4AN@33958,4H9RF@91061,COG2176@1,COG2176@2	NA|NA|NA	L	Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity
Y1_g_00017	543734.LCABL_17920	0.0	1115.1	Lactobacillaceae	proS	GO:0002161,GO:0003674,GO:0003824,GO:0004812,GO:0004827,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006433,GO:0006450,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0016788,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0043906,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0052689,GO:0065007,GO:0065008,GO:0071704,GO:0090304,GO:0106074,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.15	ko:K01881	ko00970,map00970	M00359,M00360	R03661	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016			iJN678.proS,iUTI89_1310.UTI89_C0210	Bacteria	1TRBV@1239,3F44A@33958,4H9NN@91061,COG0442@1,COG0442@2	NA|NA|NA	J	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS
Y1_g_00018	543734.LCABL_17930	2.4e-231	807.7	Lactobacillaceae	rseP	GO:0000988,GO:0000989,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006355,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016020,GO:0016021,GO:0016787,GO:0019219,GO:0019222,GO:0019538,GO:0031224,GO:0031226,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0040007,GO:0043170,GO:0043856,GO:0044238,GO:0044425,GO:0044459,GO:0044464,GO:0045152,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070011,GO:0071704,GO:0071944,GO:0080090,GO:0140096,GO:0140110,GO:1901564,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	3.4.21.116	ko:K06399,ko:K11749	ko02024,ko04112,map02024,map04112				ko00000,ko00001,ko01000,ko01002				Bacteria	1TPMC@1239,3F3TM@33958,4HAQ5@91061,COG0750@1,COG0750@2	NA|NA|NA	M	zinc metalloprotease
Y1_g_00019	543734.LCABL_17940	2e-138	498.4	Lactobacillaceae	cdsA	GO:0003674,GO:0003824,GO:0004605,GO:0005575,GO:0006139,GO:0006220,GO:0006221,GO:0006629,GO:0006644,GO:0006650,GO:0006655,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009117,GO:0009165,GO:0009987,GO:0016020,GO:0016024,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0019637,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0045017,GO:0046341,GO:0046471,GO:0046474,GO:0046483,GO:0046486,GO:0055086,GO:0070567,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.7.7.41	ko:K00981	ko00564,ko01100,ko01110,ko04070,map00564,map01100,map01110,map04070	M00093	R01799	RC00002	ko00000,ko00001,ko00002,ko01000			iSB619.SA_RS06255	Bacteria	1TT0Q@1239,3FC0H@33958,4HAMN@91061,COG4589@1,COG4589@2	NA|NA|NA	S	Belongs to the CDS family
Y1_g_00020	543734.LCABL_17950	1.5e-138	498.8	Lactobacillaceae	uppS	GO:0002094,GO:0003674,GO:0003824,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006066,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016093,GO:0016094,GO:0016740,GO:0016765,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046165,GO:0071704,GO:1901576,GO:1901615,GO:1901617	2.5.1.31	ko:K00806	ko00900,ko01110,map00900,map01110		R06447	RC00279,RC02839	ko00000,ko00001,ko01000,ko01006				Bacteria	1TQTS@1239,3F42M@33958,4HA37@91061,COG0020@1,COG0020@2	NA|NA|NA	H	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids
Y1_g_00021	543734.LCABL_17960	2.4e-93	348.2	Lactobacillaceae	frr	GO:0002181,GO:0002184,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016043,GO:0019538,GO:0022411,GO:0030312,GO:0032984,GO:0034641,GO:0034645,GO:0040007,GO:0043021,GO:0043023,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0071704,GO:0071840,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576		ko:K02838					ko00000,ko03012				Bacteria	1V1F2@1239,3F4X2@33958,4HFSH@91061,COG0233@1,COG0233@2	NA|NA|NA	J	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
Y1_g_00022	543734.LCABL_17970	1e-128	466.1	Lactobacillaceae	pyrH	GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006213,GO:0006220,GO:0006221,GO:0006225,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009132,GO:0009133,GO:0009138,GO:0009139,GO:0009163,GO:0009165,GO:0009185,GO:0009188,GO:0009193,GO:0009194,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0015949,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019693,GO:0033862,GO:0034404,GO:0034641,GO:0034654,GO:0040007,GO:0042455,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044464,GO:0046048,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0046872,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0071944,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	2.7.4.22	ko:K09903	ko00240,ko01100,map00240,map01100		R00158	RC00002	ko00000,ko00001,ko01000			iSB619.SA_RS06240	Bacteria	1TPXN@1239,3F42J@33958,4H9UB@91061,COG0528@1,COG0528@2	NA|NA|NA	F	Catalyzes the reversible phosphorylation of UMP to UDP
Y1_g_00023	543734.LCABL_17980	9e-156	556.2	Lactobacillaceae	tsf	GO:0001871,GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005085,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009986,GO:0009987,GO:0010467,GO:0019538,GO:0019899,GO:0030246,GO:0030247,GO:0034641,GO:0034645,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0051020,GO:0065007,GO:0065009,GO:0071704,GO:0097159,GO:0098772,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:2001065		ko:K02357					ko00000,ko03012,ko03029				Bacteria	1TPFJ@1239,3F459@33958,4HBDV@91061,COG0264@1,COG0264@2	NA|NA|NA	J	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
Y1_g_00024	543734.LCABL_17990	5.6e-141	506.9	Lactobacillaceae	rpsB	GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030312,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046872,GO:0046914,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904		ko:K02967	ko03010,map03010	M00178,M00179			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1TPNA@1239,3F3M1@33958,4H9N5@91061,COG0052@1,COG0052@2	NA|NA|NA	J	Belongs to the universal ribosomal protein uS2 family
Y1_g_00025	543734.LCABL_18000	2.6e-45	187.6	Lactobacillaceae	yazA			ko:K07461					ko00000				Bacteria	1VEZF@1239,3F7G2@33958,4HNHJ@91061,COG2827@1,COG2827@2	NA|NA|NA	L	GIY-YIG catalytic domain protein
Y1_g_00026	543734.LCABL_18010	5.5e-130	470.3	Lactobacillaceae	yabB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0008152,GO:0008168,GO:0008757,GO:0016740,GO:0016741,GO:0032259,GO:0044424,GO:0044444,GO:0044464	2.1.1.223	ko:K07461,ko:K15460					ko00000,ko01000,ko03016				Bacteria	1TQ25@1239,3F4C5@33958,4HA8W@91061,COG4123@1,COG4123@2	NA|NA|NA	L	Methyltransferase small domain
Y1_g_00027	543734.LCABL_18020	2.2e-122	444.9	Lactobacillaceae	plsC	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0008374,GO:0016020,GO:0016411,GO:0016740,GO:0016746,GO:0016747,GO:0042171,GO:0044464,GO:0071617,GO:0071944	2.3.1.51	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R02241,R09381	RC00004,RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01004				Bacteria	1U8N2@1239,3F4QB@33958,4HDQR@91061,COG0204@1,COG0204@2	NA|NA|NA	I	Acyltransferase
Y1_g_00028	543734.LCABL_18030	5e-217	760.4	Lactobacillaceae	bcaP			ko:K03294					ko00000	2.A.3.2			Bacteria	1TQ4K@1239,3F3QY@33958,4HA66@91061,COG0531@1,COG0531@2	NA|NA|NA	E	Amino Acid
Y1_g_00029	543734.LCABL_18040	6.6e-142	510.0	Lactobacillaceae	yejC												Bacteria	1V46X@1239,3F4FJ@33958,4HI49@91061,COG4420@1,COG4420@2	NA|NA|NA	S	Protein of unknown function (DUF1003)
Y1_g_00030	543734.LCABL_18050	0.0	1144.0	Lactobacillaceae	mdlB	GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005319,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006869,GO:0008144,GO:0008150,GO:0010876,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0033036,GO:0034040,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043492,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363		ko:K06147,ko:K18890	ko02010,map02010	M00707			ko00000,ko00001,ko00002,ko02000	3.A.1.106,3.A.1.106.13,3.A.1.106.5,3.A.1.109,3.A.1.21			Bacteria	1TP0B@1239,3F3PD@33958,4HA3S@91061,COG1132@1,COG1132@2	NA|NA|NA	V	ABC transporter
Y1_g_00031	543734.LCABL_18060	0.0	1135.6	Lactobacillaceae	mdlA	GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0008144,GO:0016020,GO:0016021,GO:0017076,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044425,GO:0044464,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363		ko:K06148,ko:K18889	ko02010,map02010	M00707			ko00000,ko00001,ko00002,ko02000	3.A.1,3.A.1.106.13,3.A.1.106.5			Bacteria	1TP0B@1239,3F3PD@33958,4HA3S@91061,COG1132@1,COG1132@2	NA|NA|NA	V	ABC transporter
Y1_g_00032	543734.LCABL_18070	2.8e-29	134.0	Lactobacillaceae	yneF			ko:K09976					ko00000				Bacteria	1VEJC@1239,3FCDQ@33958,4HNN9@91061,COG3763@1,COG3763@2	NA|NA|NA	S	UPF0154 protein
Y1_g_00033	543734.LCABL_18080	6.9e-37	159.5	Lactobacillaceae	ynzC												Bacteria	1VEKJ@1239,3F87S@33958,4HNIB@91061,COG4224@1,COG4224@2	NA|NA|NA	S	UPF0291 protein
Y1_g_00034	568703.LGG_01638	2.1e-19	100.9	Lactobacillaceae													Bacteria	1U7XM@1239,29QDP@1,30BCZ@2,3FAAR@33958,4IHV0@91061	NA|NA|NA		
